Unnamed: 0,ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min),Month,Hour
0,0xc62d,LUDHRES04DEL02,31.0,4.7,30.914057,75.83982,30.934057,75.85982,2022-02-17,08:25:00,08:35:00,Windy,Low,1.0,Drinks,motorcycle,1.0,No,Metropolitian,28.0,2,0
1,0x3118,BANGRES03DEL02,36.0,4.4,12.979166,77.640709,12.999166,77.660709,2022-03-01,09:10:00,09:25:00,Windy,Low,0.0,Drinks,motorcycle,0.0,No,Metropolitian,29.0,3,0
2,0x6e9d,CHENRES03DEL01,28.0,4.0,13.091809,80.219104,13.131809,80.259104,2022-03-15,13:30:00,13:45:00,Stormy,High,0.0,Buffet,motorcycle,1.0,No,Metropolitian,32.0,3,0
3,0x528f,CHENRES18DEL01,34.0,4.2,12.981615,80.231598,13.021615,80.271598,2022-03-05,12:40:00,12:45:00,Sandstorms,High,0.0,Drinks,motorcycle,2.0,No,Metropolitian,37.0,3,0
4,0x99d0,COIMBRES16DEL01,26.0,4.8,11.010375,76.95295,11.080375,77.02295,2022-03-02,20:30:00,20:35:00,Windy,Jam,2.0,Meal,scooter,0.0,No,Urban,29.0,3,0
5,0x2ce6,HYDRES12DEL03,37.0,4.8,17.429585,78.392621,17.519585,78.482621,2022-03-31,19:40:00,19:50:00,Sandstorms,Jam,1.0,Snack,motorcycle,0.0,No,Urban,29.0,3,0
6,0x9f04,BANGRES08DEL01,34.0,4.8,12.906229,77.596791,12.916229,77.606791,2022-03-05,08:25:00,08:30:00,Stormy,Low,2.0,Snack,scooter,0.0,No,Metropolitian,27.0,3,0
7,0x401e,PUNERES17DEL02,38.0,5.0,18.530963,73.828972,18.660963,73.958972,2022-03-06,21:55:00,22:05:00,Sunny,Jam,1.0,Buffet,scooter,0.0,No,Urban,16.0,3,0
8,0x908c,RANCHIRES20DEL02,27.0,4.5,23.39925,85.390464,23.52925,85.520464,2022-03-12,18:25:00,18:40:00,Stormy,Medium,1.0,Drinks,motorcycle,0.0,No,Urban,19.0,3,0
9,0x38ac,RANCHIRES06DEL03,27.0,4.8,23.357804,85.325146,23.387804,85.355146,2022-03-01,17:35:00,17:45:00,Stormy,Medium,2.0,Buffet,scooter,1.0,No,Metropolitian,26.0,3,0
10,0x8cbd,BANGRES01DEL03,35.0,4.7,12.933284,77.615428,12.993284,77.675428,2022-03-17,19:20:00,19:35:00,Stormy,Jam,2.0,Buffet,electric_scooter,1.0,No,Metropolitian,25.0,3,0
11,0xb1c2,RANCHIRES01DEL02,34.0,5.0,23.416792,85.316842,23.466792,85.366842,2022-03-30,19:15:00,19:25:00,Cloudy,Jam,1.0,Snack,scooter,1.0,No,Metropolitian,37.0,3,0
12,0x3199,SURRES13DEL01,31.0,4.0,21.170096,72.789122,21.180096,72.799122,2022-03-17,11:15:00,11:25:00,Stormy,High,2.0,Snack,electric_scooter,1.0,No,Metropolitian,31.0,3,0
13,0x69ac,INDORES11DEL02,32.0,4.6,22.751234,75.88949,22.801234,75.93949,2022-04-01,20:25:00,20:30:00,Cloudy,Jam,0.0,Meal,motorcycle,0.0,No,Metropolitian,29.0,4,0
14,0xdf09,BHPRES12DEL02,25.0,4.7,0.0,0.0,0.02,0.02,2022-02-15,10:55:00,11:10:00,Windy,Low,1.0,Snack,motorcycle,0.0,No,Urban,15.0,2,0
15,0x9b90,SURRES03DEL03,25.0,4.7,21.186884,72.793616,21.246884,72.853616,2022-03-24,17:45:00,18:00:00,Stormy,Medium,2.0,Drinks,scooter,0.0,No,Metropolitian,24.0,3,0
16,0x791d,PUNERES17DEL03,20.0,4.9,18.530963,73.828972,18.560963,73.858972,2022-03-17,22:10:00,22:25:00,Fog,Low,1.0,Drinks,motorcycle,1.0,No,Urban,10.0,3,0
17,0x59f3,MYSRES04DEL02,27.0,4.8,12.3085,76.665808,12.3885,76.745808,2022-03-18,17:40:00,17:50:00,Fog,Medium,0.0,Buffet,motorcycle,0.0,No,Metropolitian,35.0,3,0
18,0xd20d,BHPRES06DEL02,34.0,4.9,23.232357,77.429989,23.252357,77.449989,2022-02-17,08:30:00,08:35:00,Fog,Low,0.0,Meal,motorcycle,1.0,No,Metropolitian,24.0,2,0
19,0x9a57,RANCHIRES03DEL02,24.0,4.7,0.0,0.0,0.13,0.13,2022-03-16,20:20:00,20:25:00,Fog,Jam,0.0,Snack,motorcycle,1.0,No,Metropolitian,39.0,3,0
20,0x90b7,PUNERES09DEL02,31.0,4.8,18.536562,73.896485,18.666562,74.026485,2022-03-02,20:15:00,20:20:00,Sunny,Jam,0.0,Buffet,motorcycle,1.0,No,Metropolitian,26.0,3,0
21,0xc0f6,KNPRES09DEL03,37.0,3.6,-26.473698,80.352677,26.613698,80.492677,2022-02-14,18:10:00,18:25:00,Windy,Medium,1.0,Buffet,scooter,0.0,No,Metropolitian,37.0,2,0
22,0x67eb,COIMBRES08DEL02,37.0,4.8,11.001852,76.976268,11.051852,77.026268,2022-04-03,17:35:00,17:45:00,Windy,Medium,2.0,Buffet,motorcycle,1.0,No,Urban,34.0,4,0
23,0x21d6,JAPRES07DEL01,36.0,3.7,26.766536,75.837333,26.876536,75.947333,2022-04-04,23:20:00,23:25:00,Fog,Low,2.0,Meal,scooter,1.0,No,Metropolitian,33.0,4,0
24,0x4f3d,HYDRES01DEL03,29.0,4.7,17.410371,78.437225,17.500371,78.527225,2022-03-18,18:55:00,19:00:00,Sandstorms,Medium,1.0,Meal,scooter,1.0,No,Metropolitian,19.0,3,0
25,0x40c9,SURRES03DEL02,23.0,4.7,21.186884,72.793616,21.206884,72.813616,2022-04-05,11:25:00,11:40:00,Sunny,High,1.0,Buffet,scooter,0.0,No,Metropolitian,10.0,4,0
